date,average_price
2015-01-04,1.22
2015-01-04,1.79
2015-01-04,1.0
2015-01-04,1.76
2015-01-04,1.08
2015-01-04,1.29
2015-01-04,1.01
2015-01-04,1.64
2015-01-04,1.02
2015-01-04,1.83
2015-01-04,1.4
2015-01-04,1.73
2015-01-04,0.93
2015-01-04,1.24
2015-01-04,1.19
2015-01-04,2.13
2015-01-04,1.11
2015-01-04,1.49
2015-01-04,0.88
2015-01-04,1.34
2015-01-04,0.89
2015-01-04,1.44
2015-01-04,0.74
2015-01-04,1.35
2015-01-04,0.99
2015-01-04,1.42
2015-01-04,1.01
2015-01-04,1.7
2015-01-04,0.95
2015-01-04,1.6
2015-01-04,1.02
2015-01-04,1.54
2015-01-04,1.05
2015-01-04,1.68
2015-01-04,1.06
2015-01-04,2.32
2015-01-04,0.71
2015-01-04,1.22
2015-01-04,1.02
2015-01-04,1.63
2015-01-04,0.97
2015-01-04,1.81
2015-01-04,0.8
2015-01-04,1.5
2015-01-04,0.85
2015-01-04,1.25
2015-01-04,0.92
2015-01-04,1.48
2015-01-04,0.97
2015-01-04,1.82
2015-01-04,1.1
2015-01-04,1.56
2015-01-04,1.0
2015-01-04,1.84
2015-01-04,0.94
2015-01-04,1.41
2015-01-04,1.09
2015-01-04,1.93
2015-01-04,1.09
2015-01-04,1.88
2015-01-04,1.05
2015-01-04,1.83
2015-01-04,1.0
2015-01-04,1.8
2015-01-04,1.1
2015-01-04,1.72
2015-01-04,0.65
2015-01-04,1.12
2015-01-04,1.52
2015-01-04,1.81
2015-01-04,1.01
2015-01-04,1.69
2015-01-04,0.97
2015-01-04,1.28
2015-01-04,1.2
2015-01-04,2.01
2015-01-04,1.13
2015-01-04,1.54
2015-01-04,1.13
2015-01-04,1.39
2015-01-04,1.05
2015-01-04,1.33
2015-01-04,0.94
2015-01-04,1.23
2015-01-04,0.99
2015-01-04,1.18
2015-01-04,0.97
2015-01-04,1.49
2015-01-04,1.01
2015-01-04,1.86
2015-01-04,0.77
2015-01-04,1.35
2015-01-04,0.98
2015-01-04,1.75
2015-01-04,1.0
2015-01-04,1.3
2015-01-04,1.15
2015-01-04,1.8
2015-01-04,1.33
2015-01-04,1.72
2015-01-04,0.97
2015-01-04,1.7
2015-01-04,0.95
2015-01-04,1.46
2015-01-04,0.89
2015-01-04,1.4
2015-01-04,0.75
2015-01-04,1.64
2015-01-11,1.24
2015-01-11,1.77
2015-01-11,1.11
2015-01-11,1.84
2015-01-11,1.17
2015-01-11,1.22
2015-01-11,1.18
2015-01-11,1.44
2015-01-11,1.1
2015-01-11,1.94
2015-01-11,1.54
2015-01-11,1.59
2015-01-11,0.92
2015-01-11,1.1
2015-01-11,1.26
2015-01-11,2.29
2015-01-11,1.15
2015-01-11,1.79
2015-01-11,0.92
2015-01-11,1.32
2015-01-11,0.97
2015-01-11,1.68
2015-01-11,0.76
2015-01-11,1.35
2015-01-11,1.09
2015-01-11,1.28
2015-01-11,1.08
2015-01-11,1.87
2015-01-11,1.03
2015-01-11,1.87
2015-01-11,1.1
2015-01-11,1.69
2015-01-11,1.26
2015-01-11,1.65
2015-01-11,1.38
2015-01-11,2.28
2015-01-11,0.78
2015-01-11,1.26
2015-01-11,1.25
2015-01-11,1.83
2015-01-11,1.2
2015-01-11,1.91
2015-01-11,0.93
2015-01-11,1.54
2015-01-11,0.85
2015-01-11,1.08
2015-01-11,1.05
2015-01-11,1.79
2015-01-11,1.28
2015-01-11,1.85
2015-01-11,1.17
2015-01-11,1.52
2015-01-11,1.07
2015-01-11,1.92
2015-01-11,0.97
2015-01-11,1.44
2015-01-11,1.34
2015-01-11,2.03
2015-01-11,1.28
2015-01-11,1.86
2015-01-11,1.06
2015-01-11,1.88
2015-01-11,1.29
2015-01-11,1.92
2015-01-11,1.38
2015-01-11,1.63
2015-01-11,0.61
2015-01-11,1.36
2015-01-11,1.54
2015-01-11,1.82
2015-01-11,1.09
2015-01-11,1.68
2015-01-11,1.05
2015-01-11,1.22
2015-01-11,1.24
2015-01-11,1.98
2015-01-11,1.15
2015-01-11,1.66
2015-01-11,1.16
2015-01-11,1.47
2015-01-11,1.09
2015-01-11,1.27
2015-01-11,0.82
2015-01-11,1.05
2015-01-11,1.03
2015-01-11,1.12
2015-01-11,1.06
2015-01-11,1.46
2015-01-11,1.1
2015-01-11,2.06
2015-01-11,0.8
2015-01-11,1.39
2015-01-11,1.18
2015-01-11,1.83
2015-01-11,1.07
2015-01-11,1.38
2015-01-11,1.29
2015-01-11,1.84
2015-01-11,1.45
2015-01-11,1.66
2015-01-11,1.24
2015-01-11,1.84
2015-01-11,1.01
2015-01-11,1.42
2015-01-11,0.95
2015-01-11,1.39
2015-01-11,0.92
2015-01-11,1.69
2015-01-18,1.17
2015-01-18,1.93
2015-01-18,1.11
2015-01-18,1.86
2015-01-18,1.23
2015-01-18,1.41
2015-01-18,1.08
